Partido,Producto Bruto Geográfico,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Azul,380777.72787588026,96505.27687233724,0.0,9601.855718359006,40239.01004452069,12854.902863682311,5612.527238358827,64505.38109968683,1515.4628589503384,20591.61914831045,4063.0724029259086,23815.79124838232,20222.739575067502,12369.308084289887,5275.99401324367,3625.7496187081706,I,-59.69647833761247,-36.78593521674873
Tres Arroyos,389271.7714066106,151829.28176162337,0.0,159.01156514996754,29660.922319829184,9395.13626273542,14942.760733855752,58863.34011390937,2379.6367607670127,16080.720561588594,5102.810546773133,23254.72700074679,9712.535226303477,7825.501032514795,3424.2066959004906,2270.41736748248,I,-60.237417324749416,-38.51181427533482
La Costa,302931.4395286985,145.90613253967237,305.00855115524894,4.947982351982229,9836.119917672491,11484.902719914322,55118.74461423099,58127.384246629816,13048.57022938198,11019.866682509242,2877.5156122712474,40542.0539991296,20258.85774911186,9399.154255340023,10280.599920050856,688.672303987068,I,-56.71594027517684,-36.69716782095072
San Vicente,286739.0962290612,5674.43534808933,0.0,108.1488882309066,37663.6364643871,2864.1001913156024,65917.02347532091,32951.63959546254,2286.716651981668,11254.535007895907,2617.6756947740623,28918.10500635553,13307.641379939643,8785.507352084347,6223.463580669277,1537.7203499985212,I,-58.43181206032507,-35.071508716932144
Trenque Lauquen,299976.1483271794,123187.63075999744,0.0,11.921624100004514,14322.318189850346,5700.342191461909,5261.230202339235,48266.34386171456,1125.7901750787937,13854.35168044272,4141.297371883711,15979.54558349686,13511.614502982831,7614.4236144859315,1381.759351368715,2034.5706880348537,I,-62.63507978320753,-36.05676627217776
Balcarce,303646.6967461827,116035.29785821988,0.0,1565.3720302501154,31666.52274619924,5705.378375541742,7728.4578580211,43665.24273435982,1442.8373907358734,13613.406985355294,2284.484998837309,18847.77214229886,6923.1478117083,5199.013177391512,2809.4086525446537,2012.5583312864085,I,-58.27174756170718,-37.714619808354726
Chivilcoy,259451.1223234907,25279.968090683287,0.0,8.153766629315797,46186.0831797261,4546.969260187526,7013.601418487639,51243.3246596871,2286.8459727003174,12388.635789673588,4971.316820053236,23522.448838060467,12780.322613960563,9328.955775491915,4826.692526225012,1606.902042636492,I,-59.95841948813504,-34.91548732859283
Cañuelas,263626.28994360793,15154.746562129829,0.0,644.3737669512558,50994.8321596002,2218.0715007554763,25361.45099483538,51396.405222435606,5217.899794068764,11775.50648707883,2730.649862627832,23136.87210696344,7620.750639316529,6123.903215961767,4025.760357868445,1550.2988395690616,I,-58.69109418469528,-35.14480449594918
Berisso,252587.10603355372,344.9376940919656,0.0,561.5721864519226,34457.03141857435,4534.902858320387,7817.309723402887,37427.18320312617,2782.975669283902,11208.52571838871,3141.5130490909405,33256.95701786719,21853.74158252794,17005.37283909965,14610.73654873324,2424.503864721595,I,-57.828379772406,-34.90935511449816
San Pedro,261738.5738649316,51376.9938390468,0.0,451.4347878787063,36812.99056481338,9832.15078675124,7116.015620010761,38975.2051701993,3053.952656008528,14295.643877455546,2711.4628421588536,21410.629110036145,11872.62625250192,6017.095699866683,3443.4910820406485,1556.5880843543318,I,-59.78262676124897,-33.78098661235622
