Región,id,Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,longitud,latitud
I,308,General Guido,838,149,116,1,0,15,7,9,689,72,9,59,1,33,487,12,9,5,-57.99573659518094,-36.66603454161071
I,315,General Juan Madariaga,5155,816,427,0,7,136,123,120,4338,748,420,226,52,310,1975,200,107,298,-57.23066059497484,-37.15351571871585
I,322,General La Madrid,2689,576,498,1,1,24,21,29,2112,261,10,76,51,65,1548,13,40,43,-61.3441308948868,-37.35612777700263
I,329,General Las Heras,3673,1401,155,0,10,1110,27,96,2272,219,21,208,61,124,1328,180,83,43,-58.99544662116543,-34.90942437822857
I,336,General Lavalle,1179,185,85,29,0,19,33,17,994,91,28,18,9,29,501,6,10,299,-56.94100298951157,-36.65075037731833
I,343,General Paz,2659,630,250,0,4,237,45,93,2029,321,18,86,33,79,1261,117,55,56,-58.38965195928212,-35.46618301040534
I,351,General Pinto,2636,656,484,0,0,89,47,35,1979,234,10,108,37,55,1427,25,43,37,-62.0398793411227,-34.66852314772333
I,357,General Pueyrredon,167263,31376,2437,2772,262,19512,956,5435,135861,25114,11131,10402,3393,10885,37131,14764,11067,11971,-57.74302834770776,-37.96568314236043
I,364,General Rodríguez,21573,6868,342,2,20,5231,88,1183,14702,2244,460,2395,196,1635,4361,898,1729,781,-58.987846798266986,-34.65061569024568
C,371,General San Martín,108293,29476,217,22,177,25272,570,3214,78793,15055,3234,9425,2918,9521,19183,7753,5688,6011,-58.56428216799652,-34.552771927080705
I,385,General Viamonte,4187,860,512,0,2,217,83,45,3327,444,15,139,65,103,2202,77,101,178,-61.04965723440119,-34.99777889141617
I,392,General Villegas,6704,1791,1148,0,8,409,118,107,4912,936,70,348,128,240,2771,213,97,106,-62.95376490781935,-34.76871192027906
I,399,Guaminí,2665,550,397,0,3,37,40,71,2114,268,11,108,58,81,1514,19,26,26,-62.41853106096796,-36.89067551095447
