,links,usuario,fecha,retweet,texto,comentarios,retweets,likes,quotes,hora,cuenta,autor
5944,https://twitter.com/PatoBullrich/status/1762250459769659880#m,Patricia Bullrich,2024-02-26,False,"!usaba a su bebe como escudo para traficar cocaina! lo llevaba en un omnibus exageradamente tapado con una frazada. los gendarmes sospecharon: la manta escondia 4 kilos de cocaina. la madre quedo detenida en salta y el chiquito, con la familia. !droga que se incauta, se quema!",238,2303,9044,57, 10:57 PM UTC,PatoBullrich,Patricia Bullrich
5945,https://twitter.com/PatoBullrich/status/1762207485149032610#m,Patricia Bullrich,2024-02-26,False,"!extasis! una pareja fue a retirar 50 pastillas que llegaban en encomiendas a comodoro rivadavia. psa las detecto cuando las despacharon en aeroparque, las incauto, sustituyo y dejo seguir para detener a los narcos. entrega vigilada, entrega frustrada. se incauta, se quema.",324,1843,7932,107, 8:06 PM UTC,PatoBullrich,Patricia Bullrich
5946,https://twitter.com/PatoBullrich/status/1762125264241172563#m,Patricia Bullrich,2024-02-26,False,"!61 kg de marihuana a cuestas de un menor! los prefectos lo interceptaron en misiones, incautaron la droga, entregaron al chico a su madre y dieron intervencion a la secretaria de accion social municipal. sacar la droga de la calle es poner a salvo a nuestros chicos.",168,1678,6788,20, 2:39 PM UTC,PatoBullrich,Patricia Bullrich
5947,https://twitter.com/PatoBullrich/status/1762070015191199873#m,Patricia Bullrich,2024-02-26,False,en el pro tenemos la certeza de que la argentina ha empezado un camino que debe ser irreversible: el camino hacia un pais opuesto al que hemos sufrido con el kirchnerismo. bit.ly/comunicadodirigentesm...,772,1858,7514,136, 11:00 AM UTC,PatoBullrich,Patricia Bullrich
5948,https://twitter.com/PatoBullrich/status/1761889616867533168#m,Patricia Bullrich,2024-02-25,False,"la explotaba sexualmente la mujer era su pareja y el la obligaba a ejercer la prostitucion. lo denuncio, la policia federal investigo y lo capturo en florentino ameghino, buenos aires. si sabes o sospechas algo llama al 145. #denuncialatrata",95,1289,4872,25, 11:03 PM UTC,PatoBullrich,Patricia Bullrich
5949,https://twitter.com/PatoBullrich/status/1761821679972434159#m,Patricia Bullrich,2024-02-25,False,"este hombre atropello y mato a una mujer que iba en moto con su hijo e, inconscientemente, huyo, abandonandolos a su suerte. la pfa lo busco y detuvo en constitucion. se acabo la impunidad. !el que las hace, las paga!",256,1669,9091,15, 6:33 PM UTC,PatoBullrich,Patricia Bullrich
5950,https://twitter.com/PatoBullrich/status/1761766213259030807#m,Patricia Bullrich,2024-02-25,False,"la denunciaron por vender cocaina en santa fe. luego de 3 allanamientos, prefectura la detuvo, incauto elementos de corte y fraccionamiento, balanzas y cocaina lista para vender. sacamos la droga de los barrios, sacamos la droga del pais. denuncia al 134.",221,2395,10449,29, 2:52 PM UTC,PatoBullrich,Patricia Bullrich
5951,https://twitter.com/PatoBullrich/status/1761571557556588688#m,Patricia Bullrich,2024-02-25,False,"encuentro durante el cpac con javier hurtado mira, secretario de relaciones internacionales del partido popular , e ignacio dancausa, presidente de nuevas generaciones de madrid, referentes de isabel diaz ayuso, presidenta de la comunidad de madrid.",181,835,5128,23, 1:59 AM UTC,PatoBullrich,Patricia Bullrich
5952,https://twitter.com/PatoBullrich/status/1761537138040971313#m,Patricia Bullrich,2024-02-24,False,"junto a los organizadores del cpac acompanando al presidente javier milei, despues de un discurso profundo y conceptual, que explica como se construyen sociedades prosperas y como argentina, al no seguir ese camino, entro en la mas profunda decadencia. el objetivo es sacarla de alli, con el camino que estamos recorriendo. !gran momento!",539,2501,12565,74, 11:42 PM UTC,PatoBullrich,Patricia Bullrich
5953,https://twitter.com/PatoBullrich/status/1761460916267209045#m,Patricia Bullrich,2024-02-24,False,"compartimos experiencias en materia de seguridad en @securefreesoc. para los que no la ven, la argentina esta hoy por el buen camino y esto es reconocido y apoyado por todos.",137,744,3474,12, 6:39 PM UTC,PatoBullrich,Patricia Bullrich
5954,https://twitter.com/PatoBullrich/status/1761422692287238546#m,Patricia Bullrich,2024-02-24,False,"asi reacciono ""ursa"" frente a 2 encomiendas con cocaina en tucuman. entre la ropa habia droga para abastecer a mas de 30 mil personas. gendarmeria la suplanto, dejo seguir los paquetes y dos narcos quedaron detenidos cuando los fueron a retirar. denuncia la droga al 134.",104,1845,6721,29, 4:07 PM UTC,PatoBullrich,Patricia Bullrich
